,0
sql,368.6653697691048
oracle,343.2880405021719
database,235.07916283574662
server,198.50353110489365
administrator,130.07832649474258
data,117.13501364597815
span,107.87968407014414
rman,106.60691032304926
rac,79.96955228132856
dba,76.31705555802601
linux,72.73753638830111
ms,71.18063959313521
microsoft,66.89959661856781
windows,66.0554839557147
class,63.36392956865889
hl,63.24447066484724
management,62.76059260119646
unix,58.08040262743982
manager,56.61958231094768
oem,54.93405514805308
university,52.85359368066191
recovery,52.364190474530574
developer,49.66011553501652
information,49.01432870339207
skills,48.437488425125416
may,46.752079398957925
business,46.189193542745585
august,45.88967734508317
present,45.696431085007376
it,45.58982559693765
security,45.156795451137164
june,44.71955178156635
systems,44.70746314108141
mysql,43.99315447653917
awr,43.679940054198184
analyst,43.57920262460185
services,43.49367455247673
pl,42.07364535044355
administration,41.9708637786104
enterprise,41.81465770715751
january,41.17555089055193
backup,41.12103108148362
science,40.49776002881047
ssrs,39.62654179916683
asm,39.48242707340381
development,39.26959875388248
guard,39.00596607443592
computer,38.91544183501948
excel,38.902736738332045
system,38.370591925109764
july,37.71691539387069
addm,37.45097145774562
education,37.344645155225066
support,37.272414845329976
experience,36.65741963348903
september,36.36121442255808
md,35.73147076639368
technology,35.652911796665144
december,35.423557994952986
project,35.260413014150565
performance,35.20945688179961
service,35.15016669194419
software,35.12749996432044
march,34.89709815024886
office,34.87225013568929
work,34.852526466312945
tuning,34.777736927703266
ca,34.72273026417096
inc,34.384927259698465
tx,34.03956681762591
access,33.917197347303784
control,33.59911284622389
grid,33.43347392354136
performed,33.40924097880315
ssis,33.274843145765225
senior,33.26335304777073
february,32.65733422903857
april,32.37517764617513
production,32.01189458555028
plan,31.767268876686146
application,31.661918685149644
us,31.5539660247002
technical,31.341055358844834
october,30.713799822207907
solaris,30.399852369664575
va,30.36578165699314
environment,30.361018621760355
golden,30.115266170042148
aws,30.05089724599264
databases,29.963277403327698
november,29.669653697547457
explain,29.64074352383956
import,29.4054135125669
export,29.181797559512667
college,29.072158013531226
engineer,28.993701324133923
assistant,28.933842991378164
bachelor,28.66503922191309
installation,28.29980757321719
gate,27.560522436541213
