,0
python,97.15475079709334
java,53.94828004517841
django,53.79840372606231
javascript,51.258323652904004
js,50.14961471553705
developer,42.213011111473264
jquery,40.30592659599896
sql,39.49979350548961
spring,36.99107245476028
html,36.03172875223291
css,35.04639511986337
ui,29.434826110679843
ajax,28.794048373616583
mysql,27.383640325625752
software,26.104858988883247
angular,25.902183170803568
jsp,25.061540856041198
web,24.954061680918347
oracle,23.108928641001874
bootstrap,22.29919393348549
environment,22.13347565815453
android,21.934654313115917
hibernate,21.54503381041719
html5,20.986335856663672
linux,20.064827752257553
aws,19.915726682770668
engineer,19.865830117740035
mvc,19.667152909689893
css3,19.65097202703083
xml,19.64734000003546
services,19.368457180561435
git,19.314092900890692
server,19.181426416535423
apache,18.584562472816057
development,18.142056679740737
node,18.10441454432822
j2ee,17.82148872339952
eclipse,17.264346162222513
json,16.075565873922113
design,16.06265805371289
jenkins,15.827709639278494
span,15.397049838433663
framework,15.374923304782103
struts,15.151695879812927
data,15.041998841432077
api,14.932456378157902
application,14.862424862965383
junit,14.826251746214947
jira,14.656509594996209
react,13.94691481210939
php,13.619336854580364
amazon,13.601177844201876
soap,13.389776053292696
science,13.064220709734608
sr,12.885546000297705
agile,12.881762462133185
maven,12.398762443895135
angularjs,12.377564654824551
may,12.14496641002704
jdbc,12.109714411036467
windows,11.905447404899906
university,11.741227042522489
flask,11.621613431640615
servlets,11.564086262752129
project,11.541132395217572
tomcat,11.390602646262428
unix,11.326033383356053
computer,11.300161651566254
june,11.250573972129686
class,11.167107635880033
svn,11.032733993127229
cloud,10.861520783077465
testing,10.805949465401705
pl,10.733736336671605
developed,10.58916612202196
ca,10.519962720051577
wrote,10.507689532574984
july,10.325760971261602
august,10.282792798738635
skills,10.059046394955214
hl,10.004044882332169
front,9.990588106066225
pandas,9.928254172394931
scrum,9.83486663606171
numpy,9.822614831628576
january,9.620354749047728
github,9.574539990094399
ms,9.568881404610233
database,9.550248451029026
march,9.519081388319846
management,9.468258281185362
object,9.4427167339957
tools,9.424642517171502
user,9.333319785683303
shell,9.127790708155752
technologies,9.032479490246857
december,9.022805486642381
ide,8.954422927953791
websphere,8.83816805614206
information,8.834809961114832
