,0
network,219.4911764948298
administrator,179.93825258817898
cisco,163.51253002337663
windows,162.63248250769055
span,149.80647985787544
it,148.96364435053326
systems,141.70237142421917
security,117.53605022647564
server,116.78022248331874
microsoft,114.45432367520466
engineer,98.62643789913857
support,95.46870439515847
management,94.10653154838045
active,90.54557188306377
directory,90.03504736065794
system,89.30957488050464
information,88.19446254353753
class,83.1613475550798
hl,82.72326526406948
manager,81.94384420445977
vmware,79.91443490875437
exchange,76.47297962863597
linux,74.85083182830056
present,74.0711640400667
service,73.61200793212534
office,73.23412387015979
august,72.8325212292404
june,72.27317170106151
may,71.21873661290122
skills,70.60596190865871
sql,69.33834496103367
administration,69.11973575441179
ca,68.77254673773956
lan,68.5813490510647
computer,67.96116387053141
january,66.88343090318502
technology,66.85352759254893
technical,64.56358313615588
ip,63.748080530019934
july,61.86987912211903
project,61.75363621064858
september,61.42676943859869
university,60.05088227275108
wan,59.62590760644824
march,58.987918761989015
tx,57.095790976052996
october,56.536184928807224
april,54.719048640187005
ms,54.66549332515114
february,53.74319854566269
december,53.29926111598024
technician,53.204342693511855
education,52.968302461020926
experience,52.642027468495996
fl,52.64021164745268
data,51.196026895371325
networking,51.097898387445056
work,50.39240862314698
analyst,50.287182442425575
november,50.11969468777156
specialist,49.42449735390148
science,48.534117468198296
us,48.51149036822787
software,47.32251539801949
center,47.28279415248088
college,47.20628464597775
services,47.20213737716353
ny,47.13959961874259
desk,46.82589447394615
inc,46.3846413379335
united,46.30900682011197
dns,46.13638905490381
customer,44.62269953020324
states,44.51136768967228
san,42.76835078714858
dhcp,42.61807488185389
va,42.437624500302455
tcp,42.387529648380585
senior,42.349805397704856
business,41.955275356770315
servers,41.47015412483911
school,40.733361970386504
manage,40.33422458600551
voip,40.09714400415199
hp,39.89936555404973
desktop,39.78494661132044
associate,39.7148149704093
vpn,38.28869393410689
marine,38.134616540631065
group,37.37346408199426
dell,37.01430592583268
access,36.99181143766286
il,36.7987061957069
high,36.59049055590508
mac,36.30582989842461
operations,36.04803293401568
lead,35.109940247286936
new,34.947204938453986
certifications,34.84465051248805
ospf,34.7142806162516
bachelor,34.38033032055945
corps,34.06135578290869
engineering,33.881390753600876
licenses,33.43339971034539
pa,33.428859858903216
sharepoint,33.18110272550654
infrastructure,32.93281274477965
database,32.54442430309724
bgp,32.458170736648206
team,32.390693572132555
md,31.920884680545264
backup,31.882344362762385
switches,31.61088183729556
firewall,31.589502320474708
asa,31.587021839181627
cloud,31.279041032711294
xp,31.20333096720262
admin,30.66386812500237
additional,30.56521529590441
help,30.532429730118306
army,30.27896387566365
hardware,30.245000539946343
certified,29.95314584828988
python,29.898369639001178
routers,29.8871724059646
citrix,29.88218575359003
unix,29.673691017194813
wireless,29.66989463479568
design,29.557887944117773
enterprise,29.439354331096364
com,29.187795342225083
managed,29.04377038370889
city,29.025058255935463
eigrp,28.84117851745535
state,28.74091811368143
troubleshoot,28.22264090687291
professional,28.070221314778678
ccna,27.943630724745784
mi,27.839136105324947
nc,27.661227940696516
installation,27.418779033658495
firewalls,27.405414111890995
sr,27.397981904773463
developer,27.326717608947984
