,0
project,254.3939759596783
manager,192.2625595182321
it,191.1722074537854
management,153.16248880253448
span,122.0188527568318
business,95.24073070613164
microsoft,80.63209212645432
security,76.81447973201665
information,73.17716464380342
systems,71.92836631018399
ca,70.56070316574359
analyst,68.65681202384322
class,68.65470476950875
hl,68.46767675884506
university,66.74073445318025
june,65.62544207378275
windows,65.61730157190104
may,65.5160701801123
august,64.40526774599029
ms,63.34340471631206
tx,61.953987112103746
sql,61.19811377716309
scrum,61.18797583266298
program,60.787113965282785
present,60.153655588937944
january,59.59840917525023
office,59.34794563565791
skills,58.417005479394874
server,57.21705177483169
service,56.94883966834972
data,56.76711197995422
administrator,56.34383354567521
technology,55.85742160582099
support,55.1621037795879
march,53.908757938130584
july,52.30925588402561
network,52.020419799404976
september,51.69673030516177
december,50.67976035581594
developer,50.457513725968006
april,50.3600475349538
october,49.2892475058203
february,49.23994310159636
sharepoint,49.22589820489957
technical,48.89038848674303
system,48.745130264364136
software,48.47648484753027
senior,48.416200766590286
inc,47.042025866785046
ny,47.03731004260723
services,46.67858888687118
lead,46.07982558691666
development,45.536723130957796
november,45.35757602853745
master,44.9389874880743
education,44.83549434198195
fl,44.53308879862211
cisco,44.39673192815525
consultant,44.23088626650672
excel,44.05932348497118
agile,43.56827903205425
us,43.52989831358082
coordinator,43.26923967645173
experience,43.222174679949454
science,43.042267669355375
engineer,42.73420206489916
work,41.98225151170227
pmo,41.77400925765504
new,41.75069834368885
operations,41.136164997732195
computer,40.404615429918344
team,40.36980490331309
oracle,39.371369233871434
specialist,39.30218198462521
sr,37.95481076846177
administration,37.840949533130555
il,36.811578085339534
bachelor,36.35641076823034
san,36.20810088754545
center,36.09515564415295
college,35.3750239112801
customer,34.7359976635001
sap,34.62452758591253
ga,34.478133318132116
directory,34.02140336914347
active,33.95086438172353
state,33.77897236406031
york,33.47568389023628
jira,33.314959545771046
va,33.267972738694844
marketing,33.05822650681156
engineering,32.353175329313885
director,32.26464306443288
co,32.18512608633519
infrastructure,32.0628136466408
health,31.717031810306906
manage,31.61287293994741
database,31.326320354571735
pa,31.222929612635664
process,30.93437654686494
