,0
python,25.56354303354543
developer,16.588154726689652
django,14.888284974747158
software,14.70672460875831
java,12.475259348254218
sql,12.20472660025691
javascript,11.749655169185088
engineer,10.892670086355462
html,9.56546532068654
css,8.995804299437994
js,8.72849576440322
mysql,8.695455386680731
jquery,8.509093909784536
linux,8.22565363091603
web,7.843456409924339
may,7.708551985547728
data,7.460026798864309
php,6.966804246553095
university,6.8958479786295745
oracle,6.6208375590381845
server,6.556601019858592
ca,6.48350828295819
august,6.466784203248153
aws,6.255878553706796
git,6.23493275891203
science,6.112460643101613
ui,5.912958807027916
development,5.87866875354769
june,5.873470366469113
android,5.864932971854231
ajax,5.726939812513146
computer,5.715336610975005
january,5.655280918627122
environment,5.537827035258389
flask,5.491223900606059
skills,5.4769029088938135
angular,5.465793399129714
bootstrap,5.30577905205786
december,5.278610071040865
apache,5.18126517656667
new,5.176240892282642
september,5.11717105162498
api,5.069621006133168
york,5.005541967952012
senior,4.93597511454699
present,4.863925332965101
unix,4.790498461435965
design,4.785624945990288
project,4.775326003074863
spring,4.75344848943359
span,4.746259864912872
html5,4.715480392335549
react,4.670264765912331
engineering,4.619545670986923
ny,4.597550821472604
services,4.5364085539976715
amazon,4.425612715529782
windows,4.411783218067037
net,4.4004955323441655
april,4.3597142867152145
mvc,4.349034159207993
intern,4.321716772948125
database,4.307920074669426
july,4.301501900190365
march,4.253082834963201
february,4.165280983963668
information,4.142041564367693
xml,4.112589335213397
front,4.101220251892094
class,4.088410799075555
san,3.9948927708843924
framework,3.885864914389555
education,3.8728911487240474
experience,3.8707346466492853
microsoft,3.8524807580897424
november,3.8491553335514443
node,3.833321329058589
github,3.831744112346381
application,3.8127518358113512
hadoop,3.803880941091944
technologies,3.790326318031481
hl,3.7846636731899688
technology,3.7735323004699333
asp,3.7697668215901516
jenkins,3.7207760881556156
systems,3.6827791051975733
com,3.652618739875984
management,3.626019635589952
css3,3.61572618554915
us,3.602597252967941
json,3.535337286537387
eclipse,3.5111672086982995
work,3.502704795645498
google,3.4984013987662075
october,3.4867859008182727
shell,3.4814284382958465
stack,3.4773106559909883
pandas,3.4662680762391815
inc,3.4046428452856454
docker,3.4044700443917373
