,0
administrator,220.2842048864254
systems,216.92414552040094
windows,182.74595527273405
span,151.78972895626498
it,140.5620857975707
server,140.15250784839156
network,138.23384293613515
linux,124.84947923807263
microsoft,123.18138200575204
security,120.40697824051598
system,112.94686774953476
cisco,111.55860887764912
vmware,105.03426286765233
active,104.98139351057846
directory,104.49828534415057
engineer,104.25293571347359
management,101.383079804235
sql,100.91349754066204
support,99.39192272734594
class,98.05270098108979
hl,97.51555989439316
information,95.58925072458428
manager,84.19402440934732
exchange,80.90782313373107
may,78.25201565323994
present,77.54879401928903
august,76.84300256253776
ca,75.19405277912033
office,75.15620515384187
skills,75.08252139353377
june,74.09692397654374
university,71.28526679676567
oracle,70.07060808602463
computer,69.92522469631396
january,69.38199877341924
project,69.02152960242951
service,67.35296621116213
administration,66.79199763118437
data,66.28393147998833
july,66.08129678624859
technology,66.02432517345423
september,65.51020146515557
tx,64.26047062736824
march,63.96386605995615
ms,63.19022514089817
analyst,62.74868020069947
database,61.84111261341256
technical,61.13638787408485
april,61.119598912731256
october,59.987605561629856
software,58.46437169068007
december,58.19774588360669
education,57.42736723154351
experience,57.04071644514559
february,56.98581298542705
work,56.432524349822536
san,55.607935157391736
inc,55.54654231866053
services,55.39082991722245
science,54.85439026069578
technician,54.29256440313949
specialist,53.83824848345803
november,52.519175446036066
va,51.15736133303764
senior,51.09593493422786
unix,51.04314370027837
us,50.82451627128813
servers,50.55708298395322
center,50.49926286096421
desk,50.4525801937214
lan,50.20752175845795
college,49.095309530917724
ip,48.77662271651849
hp,48.470873528212294
fl,48.28246286826201
business,48.113032910660145
python,47.40658646500924
dns,46.491571401111905
desktop,46.048131834803414
manage,45.85595542329455
md,45.212449873460294
united,44.860564566456866
group,44.82170276679298
ny,44.180313730360545
developer,43.26516678846469
lead,42.55213711430302
states,42.45200671184765
sharepoint,42.29675733440701
admin,41.832844830376814
associate,41.829442083532854
dell,41.25392258905984
enterprise,40.62193531789598
bachelor,40.13269013338037
dhcp,40.09209952435044
aws,39.821933028495195
cloud,37.695983291053174
mac,37.675075492051235
school,37.31787244950725
networking,37.195820915295194
engineering,36.46720777286704
